date
Sat Oct 11 16:15:14 WEDT 2025
make -C ./compare benchmark
make[1]: Entering directory 'c:/Users/User/src/modernc.org/builder/.exclude/modernc.org/quickjs/compare'
go test -vet=off -timeout 24h -run @ -bench . -benchtime 5s | go run benchreport.go
goos: windows
goarch: amd64
pkg: modernc.org/quickjs/compare
cpu: Intel(R) Pentium(R) CPU G4400T @ 2.90GHz
BenchmarkQJS/array_for.js-2                       	  516495	     11564 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/array_for_in.js-2                    	  153764	     36629 ns/op	       3 B/op	       0 allocs/op
BenchmarkQJS/array_for_of.js-2                    	  457164	     13046 ns/op	       1 B/op	       0 allocs/op
BenchmarkQJS/array_hole_length_decr.js-2          	   17624	    339647 ns/op	      32 B/op	       0 allocs/op
BenchmarkQJS/array_length_decr.js-2               	   28738	    208338 ns/op	      19 B/op	       0 allocs/op
BenchmarkQJS/array_pop.js-2                       	   34323	    174750 ns/op	      16 B/op	       0 allocs/op
BenchmarkQJS/array_prop_create.js-2               	   28430	    209602 ns/op	      17 B/op	       0 allocs/op
BenchmarkQJS/array_push.js-2                      	   36543	    165077 ns/op	      15 B/op	       0 allocs/op
BenchmarkQJS/array_read.js-2                      	 8422502	       716.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/array_slice.js-2                     	   84625	     72078 ns/op	       6 B/op	       0 allocs/op
BenchmarkQJS/array_write.js-2                     	 4157364	      1447 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/date_now.js-2                        	19367270	       311.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/empty_do_loop.js-2                   	136374818	        44.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/empty_down_loop.js-2                 	133568404	        44.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/empty_down_loop2.js-2                	80160748	        74.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/empty_loop.js-2                      	133980957	        44.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkQJS/float_arith.js-2                     	   46242	    129818 ns/op	      11 B/op	       0 allocs/op
BenchmarkQJS/float_toExponential.js-2             	 2324494	      2507 ns/op	       0 B/op	       0 allocs/op
